"Product","Price","Sales"
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.59,0.09
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.52,0.1
"Bali Sun ANANAS Can 0.5L",1.29,0.17
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.14,0.24
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.59,0.09
"Bali Sun ANANAS Can 0.5L",1.18,0.22
"Bali Sun ANANAS Can 0.5L",1.22,0.2
"Bali Sun ANANAS Can 0.5L",1.45,0.12
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.21,0.2
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.35,0.15
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.65,0.08
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.37,0.14
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.47,0.11
"Bali Sun ANANAS Can 0.5L",1.28,0.16
"Bali Sun ANANAS Can 0.5L",1.56,0.09
"Bali Sun ANANAS Can 0.5L",1.58,0.09
"Bali Sun ANANAS Can 0.5L",1.29,0.16
"Bali Sun ANANAS Can 0.5L",1.24,0.19
"Bali Sun ANANAS Can 0.5L",1.22,0.19
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.13,0.24
"Bali Sun ANANAS Can 0.5L",1.62,0.08
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.37,0.14
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.29,0.16
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.48,0.11
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.45,0.12
"Bali Sun ANANAS Can 0.5L",1.18,0.21
"Bali Sun ANANAS Can 0.5L",1.5,0.11
"Bali Sun ANANAS Can 0.5L",1.07,0.29
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.5,0.1
"Bali Sun ANANAS Can 0.5L",1.52,0.1
"Bali Sun ANANAS Can 0.5L",1.63,0.08
"Bali Sun ANANAS Can 0.5L",1.69,0.07
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.2,0.2
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.09,0.27
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.45,0.12
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.18,0.21
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.5,0.1
"Bali Sun ANANAS Can 0.5L",1.38,0.14
"Bali Sun ANANAS Can 0.5L",1.47,0.11
"Bali Sun ANANAS Can 0.5L",1.48,0.11
"Bali Sun ANANAS Can 0.5L",1.16,0.23
"Bali Sun ANANAS Can 0.5L",1.54,0.1
"Bali Sun ANANAS Can 0.5L",1.59,0.09
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.09,0.27
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.22,0.19
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.56,0.09
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.64,0.08
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.54,0.1
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.2,0.21
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.47,0.11
"Bali Sun ANANAS Can 0.5L",1.6,0.09
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.13,0.25
"Bali Sun ANANAS Can 0.5L",1.6,0.09
"Bali Sun ANANAS Can 0.5L",1.2,0.21
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.1,0.27
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.17,0.22
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.14,0.24
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.22,0.19
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.14,0.24
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.58,0.09
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.5,0.1
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.06,0.3
"Bali Sun ANANAS Can 0.5L",1.18,0.22
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.12,0.25
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.5,0.11
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.41,0.12
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.47,0.11
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.64,0.08
"Bali Sun ANANAS Can 0.5L",1.24,0.19
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.37,0.14
"Bali Sun ANANAS Can 0.5L",0.91,0.47
"Bali Sun ANANAS Can 0.5L",1.48,0.11
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.24,0.19
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.52,0.1
"Bali Sun ANANAS Can 0.5L",1.22,0.19
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.61,0.08
"Bali Sun ANANAS Can 0.5L",1.18,0.21
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.45,0.12
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.09,0.27
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.59,0.09
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.39,0.13
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.29,0.16
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.22,0.2
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.57,0.09
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.35,0.15
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.11,0.26
"Bali Sun ANANAS Can 0.5L",1.65,0.08
"Bali Sun ANANAS Can 0.5L",1.18,0.22
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.1,0.26
"Bali Sun ANANAS Can 0.5L",1.22,0.19
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.16,0.23
"Bali Sun ANANAS Can 0.5L",1.5,0.11
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.45,0.11
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.49,0.1
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.27,0.17
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.28,0.16
"Bali Sun ANANAS Can 0.5L",1.24,0.19
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.57,0.09
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.22,0.2
"Bali Sun ANANAS Can 0.5L",1.55,0.09
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.66,0.08
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.35,0.15
"Bali Sun ANANAS Can 0.5L",1.58,0.09
"Bali Sun ANANAS Can 0.5L",1.56,0.09
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.81,0.06
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.17,0.22
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.52,0.1
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.11,0.26
"Bali Sun ANANAS Can 0.5L",1.5,0.11
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.57,0.09
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.31,0.16
"Bali Sun ANANAS Can 0.5L",0.95,0.41
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.54,0.1
"Bali Sun ANANAS Can 0.5L",1.55,0.09
"Bali Sun ANANAS Can 0.5L",1.33,0.15
"Bali Sun ANANAS Can 0.5L",1.1,0.27
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.57,0.09
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.48,0.11
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.26,0.18
"Bali Sun ANANAS Can 0.5L",1.18,0.22
"Bali Sun ANANAS Can 0.5L",1.56,0.09
"Bali Sun ANANAS Can 0.5L",1.11,0.26
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.12,0.25
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.29,0.16
"Bali Sun ANANAS Can 0.5L",1.29,0.16
"Bali Sun ANANAS Can 0.5L",1.32,0.16
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.41,0.12
"Bali Sun ANANAS Can 0.5L",1.34,0.14
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.3,0.16
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.27,0.18
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.2,0.2
"Bali Sun ANANAS Can 0.5L",1.46,0.11
"Bali Sun ANANAS Can 0.5L",1.27,0.18
"Bali Sun ANANAS Can 0.5L",1.08,0.28
"Bali Sun ANANAS Can 0.5L",1.2,0.21
"Bali Sun ANANAS Can 0.5L",1.61,0.08
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.17,0.22
"Bali Sun ANANAS Can 0.5L",1.36,0.14
"Bali Sun ANANAS Can 0.5L",1.15,0.24
"Bali Sun ANANAS Can 0.5L",1.38,0.14
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.34,0.15
"Bali Sun ANANAS Can 0.5L",1.35,0.14
"Bali Sun ANANAS Can 0.5L",1.19,0.21
"Bali Sun ANANAS Can 0.5L",1.53,0.1
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.62,0.08
"Bali Sun ANANAS Can 0.5L",1.49,0.11
"Bali Sun ANANAS Can 0.5L",1.42,0.12
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.6,0.09
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.37,0.14
"Bali Sun ANANAS Can 0.5L",1.08,0.28
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.13,0.25
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.52,0.1
"Bali Sun ANANAS Can 0.5L",1.09,0.27
"Bali Sun ANANAS Can 0.5L",1.38,0.14
"Bali Sun ANANAS Can 0.5L",1.45,0.12
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.63,0.08
"Bali Sun ANANAS Can 0.5L",1.45,0.11
"Bali Sun ANANAS Can 0.5L",0.87,0.53
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.46,0.12
"Bali Sun ANANAS Can 0.5L",1.09,0.27
"Bali Sun ANANAS Can 0.5L",1.56,0.09
"Bali Sun ANANAS Can 0.5L",1.24,0.18
"Bali Sun ANANAS Can 0.5L",1.23,0.19
"Bali Sun ANANAS Can 0.5L",1.4,0.13
"Bali Sun ANANAS Can 0.5L",1.51,0.1
"Bali Sun ANANAS Can 0.5L",1.62,0.08
"Bali Sun ANANAS Can 0.5L",1.47,0.11
"Bali Sun ANANAS Can 0.5L",1.21,0.2
"Bali Sun ANANAS Can 0.5L",1.57,0.09
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.14,0.24
"Bali Sun ANANAS Can 0.5L",1.55,0.1
"Bali Sun ANANAS Can 0.5L",1.1,0.26
"Bali Sun ANANAS Can 0.5L",1.54,0.09
"Bali Sun ANANAS Can 0.5L",1.43,0.12
"Bali Sun ANANAS Can 0.5L",1.44,0.12
"Bali Sun ANANAS Can 0.5L",1.28,0.17
"Bali Sun ANANAS Can 0.5L",1.15,0.23
"Bali Sun ANANAS Can 0.5L",1.41,0.13
"Bali Sun ANANAS Can 0.5L",1.31,0.15
"Bali Sun ANANAS Can 0.5L",1.46,0.12
"Bali Sun ANANAS Can 0.5L",1.25,0.18
"Bali Sun ANANAS Can 0.5L",1.32,0.15
"Bali Sun ANANAS Can 0.5L",1.38,0.13
"Bali Sun ANANAS Can 0.5L",1.12,0.25
"Bali Sun ANANAS Can 0.5L",1.29,0.16
